Violation_ID,Project_SLUG,SHA,Notes
577,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
578,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
579,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
580,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
581,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
582,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
583,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
584,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
585,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
586,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
587,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
588,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
589,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
590,hoverruan/weiboclient4j.git,6ca0c73f77f10d8ec1fed2c768c719dcf9ea7fc5,N/A
591,sitespeedio/crawler.git,715ee7f1454eec14bebcb6d12563dfc32d9bbf48,N/A
592,Ovea/jetty-session-redis.git,afb2b25b77d45e613fda1aac9bc72ddea9327b7a,N/A
593,Ovea/jetty-session-redis.git,afb2b25b77d45e613fda1aac9bc72ddea9327b7a,N/A
594,raml-org/raml-java-parser.git,fd70fa27094a7be65d4a994555a6cedeba7dd79e,N/A
595,raml-org/raml-java-parser.git,fd70fa27094a7be65d4a994555a6cedeba7dd79e,N/A
596,raml-org/raml-java-parser.git,fd70fa27094a7be65d4a994555a6cedeba7dd79e,N/A
597,raml-org/raml-java-parser.git,fd70fa27094a7be65d4a994555a6cedeba7dd79e,N/A
598,raml-org/raml-java-parser.git,fd70fa27094a7be65d4a994555a6cedeba7dd79e,N/A
599,srt/asterisk-java.git,b07617fe185d57dd38980993e1934d68e7e6c0c6,N/A
600,srt/asterisk-java.git,b07617fe185d57dd38980993e1934d68e7e6c0c6,N/A
601,srt/asterisk-java.git,b07617fe185d57dd38980993e1934d68e7e6c0c6,N/A
602,srt/asterisk-java.git,b07617fe185d57dd38980993e1934d68e7e6c0c6,N/A
603,srt/asterisk-java.git,b07617fe185d57dd38980993e1934d68e7e6c0c6,N/A
604,srt/asterisk-java.git,b07617fe185d57dd38980993e1934d68e7e6c0c6,N/A
605,mbolt35/coffee-graph.git,b1489fa8770b5ae67996842db78153d0f82b32b9,N/A
606,masukomi/aspirin.git,da7f0593c83d2fb1536724fa7c6d7037f03fe14e,N/A
607,mbolt35/coffee-graph.git,b1489fa8770b5ae67996842db78153d0f82b32b9,N/A
608,mbolt35/coffee-graph.git,b1489fa8770b5ae67996842db78153d0f82b32b9,N/A
609,mbolt35/coffee-graph.git,b1489fa8770b5ae67996842db78153d0f82b32b9,N/A
610,mbolt35/coffee-graph.git,b1489fa8770b5ae67996842db78153d0f82b32b9,N/A
611,codedance/silken.git,381532036e886220a7e9e2c5f47b9573fb5dd493,N/A
612,masukomi/aspirin.git,da7f0593c83d2fb1536724fa7c6d7037f03fe14e,N/A
613,Cognifide/Maven-CRX-Plugin.git,288f738bf4b75a1d4c7d7c6aca77ba5193071ed6,N/A
614,stain/jai-imageio-core.git,45da533fecd8f419fca107513092f4c74bfb7d65,N/A
615,stain/jai-imageio-core.git,45da533fecd8f419fca107513092f4c74bfb7d65,N/A
616,vidageek/crawler.git,120883b672384225f7ad9fbf0b9126706a7c8f40,N/A
617,apache/commons-lang.git,3287f3100f5940c254130192fb442077755477f6,,
618,apache/commons-lang.git,3287f3100f5940c254130192fb442077755477f6,,
619,apache/commons-lang.git,3287f3100f5940c254130192fb442077755477f6,,
620,apache/commons-lang.git,3287f3100f5940c254130192fb442077755477f6,,
621,apache/commons-lang.git,3287f3100f5940c254130192fb442077755477f6,,
622,Asana/java-asana.git,52fef9bcb189ccb405069ecb0e0d560d9ee17451,,
623,Asana/java-asana.git,52fef9bcb189ccb405069ecb0e0d560d9ee17451,,
624,Asana/java-asana.git,52fef9bcb189ccb405069ecb0e0d560d9ee17451,,
625,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
626,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
627,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
628,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
629,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
630,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
631,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
632,apache/commons-codec.git,b959a9ea303cd6c1a80d1d70b698d74eff50cb13,,
633,apache/commons-exec.git,2ca7c03c48d2a3494ce9cc0b19c69cae97146335,,
634,apache/commons-exec.git,2ca7c03c48d2a3494ce9cc0b19c69cae97146335,,
635,apache/commons-exec.git,2ca7c03c48d2a3494ce9cc0b19c69cae97146335,,
636,apache/commons-exec.git,2ca7c03c48d2a3494ce9cc0b19c69cae97146335,,
637,apache/commons-fileupload.git,55dc6fe4d7a2557f063e34bd3917fca217a63441,,
638,apache/commons-fileupload.git,55dc6fe4d7a2557f063e34bd3917fca217a63441,,
639,apache/commons-fileupload.git,55dc6fe4d7a2557f063e34bd3917fca217a63441,,
640,apache/commons-net.git,eb0181a8841914ebe41eea6bd9ec8cedd853eaa3,,
641,apache/commons-net.git,eb0181a8841914ebe41eea6bd9ec8cedd853eaa3,,
642,apache/commons-net.git,eb0181a8841914ebe41eea6bd9ec8cedd853eaa3,,
643,apache/commons-net.git,eb0181a8841914ebe41eea6bd9ec8cedd853eaa3,,
644,apache/commons-validator.git,72734d296ccb46f36a7b0d56f0b810e5d9588477,,
645,google/compile-testing.git,a9a657436cad322c2814debf6c49ccff4115c025,,
646,google/compile-testing.git,a9a657436cad322c2814debf6c49ccff4115c025,,
647,google/compile-testing.git,a9a657436cad322c2814debf6c49ccff4115c025,,
648,google/compile-testing.git,a9a657436cad322c2814debf6c49ccff4115c025,,
649,EsotericSoftware/yamlbeans.git,6b0a6f29e3663caab9e7ea46101b1f6f16f39100,,
650,EsotericSoftware/yamlbeans.git,6b0a6f29e3663caab9e7ea46101b1f6f16f39100,,
651,EsotericSoftware/yamlbeans.git,6b0a6f29e3663caab9e7ea46101b1f6f16f39100,,
652,EsotericSoftware/yamlbeans.git,6b0a6f29e3663caab9e7ea46101b1f6f16f39100,,
653,JodaOrg/joda-beans.git,597a6be0f959d3728aa9ef7e4a4c3961919e6a07,,
654,JodaOrg/joda-time.git,ed9d0a2f5928433ac3d3883d317e996f9e94c9b1,,
655,JodaOrg/joda-time.git,ed9d0a2f5928433ac3d3883d317e996f9e94c9b1,,
656,JodaOrg/joda-time.git,ed9d0a2f5928433ac3d3883d317e996f9e94c9b1,,
657,jscep/jscep.git,ddbcb446e428dd6d00752f05bcacb783f7f5e6d2,,
658,lukas-krecan/json2xml.git,1bcc260dbd18e476b96cc9d34e7b8c51d2b56056,,
659,maxmind/geoip-api-java.git,1030316a1e9fe5ccce02446fe65b2cd800d7eeed,,
660,netceteragroup/trema-core.git,b0bdb76d8bdf06454f5645452f5e4e9156cfae0b,,
661,netceteragroup/trema-core.git,b0bdb76d8bdf06454f5645452f5e4e9156cfae0b,,
662,netceteragroup/trema-core.git,b0bdb76d8bdf06454f5645452f5e4e9156cfae0b,,
663,venkatramanm/common.git,218484f10533c1f725aa91bf07a68a2bf5857e0b,,
664,venkatramanm/common.git,218484f10533c1f725aa91bf07a68a2bf5857e0b,,
665,microfocus-idol/java-configuration-impl.git,1e13e552fac467fb9ca3ce2b2ed5a3d037052cf4,,
666,microfocus-idol/java-configuration-impl.git,1e13e552fac467fb9ca3ce2b2ed5a3d037052cf4,,
667,microfocus-idol/java-configuration-impl.git,1e13e552fac467fb9ca3ce2b2ed5a3d037052cf4,,
668,mojohaus/jaxb2-maven-plugin.git,4334522409c9f92e262d6479b1bf8448713d8152,,
669,mojohaus/jaxb2-maven-plugin.git,4334522409c9f92e262d6479b1bf8448713d8152,,
670,mojohaus/jaxb2-maven-plugin.git,4334522409c9f92e262d6479b1bf8448713d8152,,
